Elapsed Time (s),Long accel (g),Lat accel (g),Vert accel (g),Roll--Euler (deg),Pitch--Euler (deg),Yaw--Euler (deg),Latitude,Longitude,Speed (kts),Course (deg),GPS Time,Flagged
6.101,1.8151016,4.6091344,-0.6009604,-80.41986917,24.29281066,245.0633545,50.14785271,-5.057866592,2.361946948,318.2386651,2021-11-17T13:20:26.746Z,N
6.154,-0.2243384,1.7437212,0.2148156,-83.07661466,29.2917202,245.0633545,50.14785271,-5.057866592,2.361946948,318.2386651,2021-11-17T13:20:26.799Z,N
6.21,-0.356902,0.3263104,0.9694084,-89.18255101,33.99693161,245.0633545,50.14785271,-5.057866592,2.361946948,318.2386651,2021-11-17T13:20:26.855Z,N
6.251,-0.3263104,-0.2447328,1.2141412,-92.87083263,35.00545684,245.0633545,50.14785271,-5.057866592,2.361946948,318.2386651,2021-11-17T13:20:26.896Z,N
6.301,-0.2855216,-0.1733524,1.3467048,-93.66999891,32.75309612,224.6295776,50.1478507,-5.057874333,2.361946948,318.2386651,2021-11-17T13:20:26.946Z,N
6.352,-0.4384796,-0.1631552,1.2243384,-92.12153357,31.36331997,224.6295776,50.1478507,-5.057874333,2.361946948,318.2386651,2021-11-17T13:20:26.997Z,N
6.401,-0.6424236,0.3365076,1.0407888,-89.90949486,30.12853448,224.6295776,50.1478507,-5.057874333,2.361946948,318.2386651,2021-11-17T13:20:27.046Z,N
6.453,0.9381424,3.925922,0.4697456,-82.29425065,22.59412043,224.6295776,50.1478507,-5.057874333,2.361946948,318.2386651,2021-11-17T13:20:27.098Z,N
6.501,0.9993256,2.5696944,-2.6302032,-75.34417123,18.38934332,224.6295776,50.1478507,-5.057874333,2.361946948,318.2386651,2021-11-17T13:20:27.146Z,N
6.554,1.01972,0.4384796,1.5710432,-77.07401907,22.16959686,224.6295776,50.1478507,-5.057874333,2.361946948,318.2386651,2021-11-17T13:20:27.199Z,N
6.601,0.9993256,-0.4690712,1.5506488,-78.06379544,23.68123211,224.6295776,50.1478507,-5.057874333,2.361946948,318.2386651,2021-11-17T13:20:27.246Z,N
6.652,0.7240012,-0.7036068,0.082252,-70.07746705,22.23850322,224.6295776,50.1478507,-5.057874333,2.361946948,318.2386651,2021-11-17T13:20:27.297Z,N
6.715,0.2855216,-0.25493,0.7144784,-64.93098103,22.56960176,224.6295776,50.1478507,-5.057874333,2.361946948,318.2386651,2021-11-17T13:20:27.360Z,N
6.752,0.2345356,0.1835496,1.0917748,-57.07049546,25.09900691,224.6295776,50.1478507,-5.057874333,2.361946948,318.2386651,2021-11-17T13:20:27.398Z,N
6.801,0.6526208,1.1624808,0.3983652,-51.09162795,25.55113469,233.9909363,50.14784824,-5.057883847,2.886536872,309.6300503,2021-11-17T13:20:27.446Z,N
6.852,1.2134668,3.3446816,-2.772964,-49.61518695,22.97212871,233.9909363,50.14784824,-5.057883847,2.886536872,309.6300503,2021-11-17T13:20:27.497Z,N
6.901,-0.1937468,1.2134668,-0.478594,-46.37322061,24.71049038,233.9909363,50.14784824,-5.057883847,2.886536872,309.6300503,2021-11-17T13:20:27.546Z,N
6.952,-0.2345356,0.4384796,0.9694084,-48.39712518,28.44142825,233.9909363,50.14784824,-5.057883847,2.886536872,309.6300503,2021-11-17T13:20:27.597Z,N
7.002,-0.1427608,-0.0407888,1.407888,-50.89483313,28.12135364,233.9909363,50.14784824,-5.057883847,2.886536872,309.6300503,2021-11-17T13:20:27.647Z,N
7.051,-0.152958,-0.0815776,1.0407888,-52.49126347,24.87631884,233.9909363,50.14784824,-5.057883847,2.886536872,309.6300503,2021-11-17T13:20:27.696Z,N
7.101,-0.2243384,0.0407888,1.1121692,-51.66084566,23.29798337,233.9909363,50.14784824,-5.057883847,2.886536872,309.6300503,2021-11-17T13:20:27.746Z,N
7.154,-0.7036068,0.407888,1.203944,-50.06291951,21.69172438,233.9909363,50.14784824,-5.057883847,2.886536872,309.6300503,2021-11-17T13:20:27.800Z,N
7.21,0.5812404,3.4262592,-0.78451,-50.64312017,15.42970968,233.9909363,50.14784824,-5.057883847,2.886536872,309.6300503,2021-11-17T13:20:27.855Z,N
7.253,0.458874,1.1522836,-1.9775824,-47.07651153,12.04747175,233.9909363,50.14784824,-5.057883847,2.886536872,309.6300503,2021-11-17T13:20:27.898Z,N
7.301,0.8871564,0.203944,0.4085624,-42.84764775,12.50221293,252.6530457,50.14784579,-5.057893361,2.668567414,318.1723144,2021-11-17T13:20:27.946Z,N
7.352,0.6016348,-0.6220292,0.847042,-36.56782162,9.854981044,252.6530457,50.14784579,-5.057893361,2.668567414,318.1723144,2021-11-17T13:20:27.997Z,N
